GEO_ID,GEO.id2,GEO.display-label,Population
1500000US080010093212,80010093212,"Block Group 2, Census Tract 93.21, Adams County, Colorado",1012
1500000US080010093213,80010093213,"Block Group 3, Census Tract 93.21, Adams County, Colorado",1146
1500000US080010093221,80010093221,"Block Group 1, Census Tract 93.22, Adams County, Colorado",2061
1500000US080010093222,80010093222,"Block Group 2, Census Tract 93.22, Adams County, Colorado",2185
1500000US080010093231,80010093231,"Block Group 1, Census Tract 93.23, Adams County, Colorado",1247
1500000US080010093232,80010093232,"Block Group 2, Census Tract 93.23, Adams County, Colorado",933
1500000US080010093233,80010093233,"Block Group 3, Census Tract 93.23, Adams County, Colorado",860
1500000US080010093234,80010093234,"Block Group 4, Census Tract 93.23, Adams County, Colorado",688
1500000US080010093251,80010093251,"Block Group 1, Census Tract 93.25, Adams County, Colorado",1523
1500000US080010093252,80010093252,"Block Group 2, Census Tract 93.25, Adams County, Colorado",1684
1500000US080010093253,80010093253,"Block Group 3, Census Tract 93.25, Adams County, Colorado",1856
1500000US080010093261,80010093261,"Block Group 1, Census Tract 93.26, Adams County, Colorado",1285
1500000US080010093262,80010093262,"Block Group 2, Census Tract 93.26, Adams County, Colorado",1269
1500000US080010093271,80010093271,"Block Group 1, Census Tract 93.27, Adams County, Colorado",1077
1500000US080010093272,80010093272,"Block Group 2, Census Tract 93.27, Adams County, Colorado",1247
1500000US080010093273,80010093273,"Block Group 3, Census Tract 93.27, Adams County, Colorado",1085
1500000US080010093274,80010093274,"Block Group 4, Census Tract 93.27, Adams County, Colorado",715
1500000US080010094011,80010094011,"Block Group 1, Census Tract 94.01, Adams County, Colorado",1350
1500000US080010094012,80010094012,"Block Group 2, Census Tract 94.01, Adams County, Colorado",1604
1500000US080010094013,80010094013,"Block Group 3, Census Tract 94.01, Adams County, Colorado",1949
1500000US080010094061,80010094061,"Block Group 1, Census Tract 94.06, Adams County, Colorado",1968
1500000US080010094062,80010094062,"Block Group 2, Census Tract 94.06, Adams County, Colorado",2291
1500000US080010094071,80010094071,"Block Group 1, Census Tract 94.07, Adams County, Colorado",2315
1500000US080010094072,80010094072,"Block Group 2, Census Tract 94.07, Adams County, Colorado",1666
1500000US080010094073,80010094073,"Block Group 3, Census Tract 94.07, Adams County, Colorado",1246
